The parameter values used or converged in the simulated result:
Initial LAI  =   0.03744
Parameter a = 0.00040726
Parameter b = 0.0053678
Parameter c =  0.035689

Estimated grain yield (kg/ha) :
    0.0

DOY  DAP   GDD   OLAI    LAI    AGDM    NPP    GPP    ETc    PGP
288 139 1797.6    nan   3.58  1725.3   5.76   8.52   3.79    0.0
289 140 1804.9    nan   3.56  1740.2   5.28  10.94   3.81    0.0
290 141 1811.7    nan   3.54  1753.9   5.99  10.70   4.33    0.0
291 142 1813.9    nan   3.51  1769.5   6.10  10.06   4.71    0.0
292 143 1813.9    nan   3.49  1785.3   5.88  10.67   4.69    0.0
293 144 1813.9    nan   3.47  1800.5   5.86  10.18   5.19    0.0
294 145 1815.7    nan   3.46  1815.7   3.26  10.73   4.88    0.0
295 146 1818.2    nan   3.44  1824.1   5.34  10.71   4.19    0.0
296 147 1824.3    nan   3.43  1838.0   5.22   9.39   4.39    0.0
297 148 1827.8    nan   3.42  1851.5   5.56  10.41   4.62    0.0
298 149 1827.8    nan   3.42  1865.9   0.00   4.00   4.62    0.0
